Name,Year of release,Rating,Genre,imdb Url,votes
Avengers: Infinity War,(2018),NA,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt4154756/?ref_=adv_li_tt,NA
Jurassic World: Fallen Kingdom,(2018),NA,"
Action, Adventure, Sci-Fi            ",http://www.imdb.com/title/tt4881806/?ref_=adv_li_tt,NA
Vikings,(2013– ),8.6,"
Action, Drama, History            ",http://www.imdb.com/title/tt2306299/?ref_=adv_li_tt,"268,357"
Star Wars: The Last Jedi,(2017),8.3,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt2527336/?ref_=adv_li_tt,"15,084"
Justice League,(2017),7.2,"
Action, Adventure, Fantasy            ",http://www.imdb.com/title/tt0974015/?ref_=adv_li_tt,"136,314"
The Punisher,(2017– ),8.9,"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt5675620/?ref_=adv_li_tt,"58,357"
Thor: Ragnarok,(2017),8.1,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt3501632/?ref_=adv_li_tt,"165,452"
The Flash,(2014– ),8,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt3107288/?ref_=adv_li_tt,"236,141"
Dunkirk,(2017),8.2,"
Action, Drama, History            ",http://www.imdb.com/title/tt5013056/?ref_=adv_li_tt,"263,377"
Arrow,(2012– ),7.8,"
Action, Adventure, Crime            ",http://www.imdb.com/title/tt2193021/?ref_=adv_li_tt,"346,000"
Kingsman: The Golden Circle,(2017),7,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt4649466/?ref_=adv_li_tt,"104,494"
Agents of S.H.I.E.L.D.,(2013– ),7.5,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt2364582/?ref_=adv_li_tt,"163,072"
Jumanji: Welcome to the Jungle,(2017),6.9,"
Action, Adventure, Comedy            ",http://www.imdb.com/title/tt2283362/?ref_=adv_li_tt,"1,765"
Supergirl,(2015– ),6.5,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt4016454/?ref_=adv_li_tt,"75,548"
Legends of Tomorrow,(2016– ),7,"
Action, Adventure, Drama            ",http://www.imdb.com/title/tt4532368/?ref_=adv_li_tt,"63,082"
Gotham,(2014– ),7.9,"
Action, Crime, Drama            ",http://www.imdb.com/title/tt3749900/?ref_=adv_li_tt,"167,376"
